ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
24;Laura;Goodwin;LauraGoodwin@example.org;6-12-1961;40114157;nee;nvt;13-4-2021;13-5-2021;PFI;Nee
25;Abbie;O'Reilly;AbbieO'Reilly@example.org;6-6-1970;88253657;ja;28-11-2020;5-2-2021;15-3-2021;PFI;Nee
26;Salvatore;Schoen;SalvatoreSchoen@example.org;20-3-1971;11694338;nee;nvt;13-2-2021;15-3-2021;PFI;Nee
27;Reece;Marquardt;ReeceMarquardt@example.org;5-4-1942;72941647;nee;nvt;29-3-2021;8-5-2021;PFI;Nee
28;Francesca;Mueller;FrancescaMueller@example.org;23-12-1962;81984290;ja;6-7-2020;7-3-2021;15-5-2021;PFI;Nee
29;Julien;Becker;JulienBecker@example.org;31-8-1961;13565018;ja;1-6-2020;19-2-2021;24-3-2021;AZ;Nee
30;Sigmund;O'Hara;SigmundO'Hara@example.org;30-1-1953;82416352;ja;12-7-2020;6-3-2021;6-4-2021;AZ;Ja, 30 uur oud
31;Maxime;Hirthe;MaximeHirthe@example.org;27-4-1979;24627824;ja;11-8-2020;5-5-2021;VOLDAAN;AZ;Nee
32;Glenda;Leuschke;GlendaLeuschke@example.org;18-1-1951;63687061;nee;nvt;10-3-2021;22-4-2021;PFI;Nee
33;Vesta;Little;VestaLittle@example.org;21-2-1954;74794814;ja;23-10-2020;20-2-2021;17-4-2021;AZ;Nee
34;Adrienne;Hessel;AdrienneHessel@example.org;17-7-1954;29333498;nee;nvt;14-5-2021;nog inplannen;PFI;Nee
35;Libbie;Abernathy;LibbieAbernathy@example.org;16-6-1959;24218618;ja;26-1-2021;5-2-2021;6-4-2021;PFI;Nee
36;Baby;Zemlak;BabyZemlak@example.org;30-3-2000;64059081;nee;nvt;15-3-2021;17-4-2021;AZ;Nee
37;Arianna;Lang;AriannaLang@example.org;12-2-1940;89017547;nee;nvt;20-2-2021;27-3-2021;PFI;Ja, 30 uur oud
38;Mackenzie;Jakubowski;MackenzieJakubowski@example.org;10-6-1959;33915889;nee;nvt;8-3-2021;17-4-2021;PFI;Nee
39;Maurice;Auer;MauriceAuer@example.org;14-2-1954;16169430;ja;3-7-2020;31-3-2021;21-5-2021;PFI;Nee
40;May;Gerhold;MayGerhold@example.org;5-2-1962;62742028;ja;27-11-2020;28-4-2021;nog inplannen;PFI;Nee
41;Nathanael;Graham;NathanaelGraham@example.org;26-12-1980;72744022;nee;nvt;5-4-2021;3-5-2021;AZ;Nee
42;Laurianne;Carroll;LaurianneCarroll@example.org;9-9-1967;50493443;nee;nvt;23-1-2021;14-3-2021;AZ;Nee
43;Saul;Ziemann;SaulZiemann@example.org;22-10-1936;72835465;nee;nvt;12-3-2021;8-5-2021;PFI;Nee
44;Roger;Morissette;RogerMorissette@example.org;17-3-1953;95300959;nee;nvt;26-4-2021;1-6-2021;PFI;Ja, 30 uur oud
45;Everett;Hintz;EverettHintz@example.org;17-9-1936;19217737;ja;30-10-2020;14-1-2021;16-2-2021;PFI;Nee
46;Oren;Hudson;OrenHudson@example.org;6-5-1957;67691817;ja;5-12-2020;19-4-2021;nog inplannen;PFI;Nee
47;Stevie;Lebsack;StevieLebsack@example.org;15-4-1964;48063918;nee;nvt;22-5-2021;nog inplannen;PFI;Nee
48;Mafalda;Johnston;MafaldaJohnston@example.org;1-4-1950;30073708;nee;nvt;24-4-2021;28-5-2021;PFI;Nee
49;Jamison;Hansen;JamisonHansen@example.org;20-6-1982;15656408;ja;16-1-2021;21-1-2021;12-3-2021;PFI;Nee
50;Harley;Beatty;HarleyBeatty@example.org;26-5-1992;71424566;ja;14-1-2021;4-2-2021;VOLDAAN;JANS;Nee
51;Reba;Douglas;RebaDouglas@example.org;3-2-1980;51909837;ja;13-12-2020;30-3-2021;23-5-2021;PFI;Ja, 30 uur oud
52;Vladimir;Funk;VladimirFunk@example.org;28-2-1944;58107072;nee;nvt;6-4-2021;5-5-2021;AZ;Nee
53;Wilfred;Sipes;WilfredSipes@example.org;4-2-1979;83197851;ja;6-9-2020;12-4-2021;30-5-2021;PFI;Nee
54;Kathryn;Ernser;KathrynErnser@example.org;15-9-1951;53108965;ja;24-6-2020;13-1-2021;8-3-2021;AZ;Nee
55;Thaddeus;Kirlin;ThaddeusKirlin@example.org;30-4-1986;92402287;nee;nvt;2-4-2021;29-5-2021;AZ;Nee
56;Clovis;Gottlieb;ClovisGottlieb@example.org;14-11-1955;28623406;ja;12-10-2020;30-3-2021;24-5-2021;ONB;Nee
57;Jonas;Cummings;JonasCummings@example.org;15-5-1998;60688647;nee;nvt;2-2-2021;VOLDAAN;JANS;Nee
58;Libby;Metz;LibbyMetz@example.org;1-4-1992;81308205;ja;8-12-2020;11-3-2021;4-5-2021;PFI;Ja, 40 uur oud
59;Natalia;Brakus;NataliaBrakus@example.org;17-8-1958;14522525;nee;nvt;5-3-2021;22-4-2021;ONB;Nee
60;Josh;Ritchie;JoshRitchie@example.org;11-4-1976;97229674;nee;nvt;23-2-2021;21-4-2021;PFI;Nee
61;Easter;Johnston;EasterJohnston@example.org;15-6-1942;97958016;ja;1-5-2020;4-2-2021;14-3-2021;PFI;Nee
62;America;Hudson;AmericaHudson@example.org;20-2-1989;23418091;ja;1-7-2020;13-1-2021;12-2-2021;AZ;Nee
63;Sonny;Erdman;SonnyErdman@example.org;3-7-1967;84506338;ja;28-5-2020;23-3-2021;22-4-2021;PFI;Nee
64;Rhiannon;Graham;RhiannonGraham@example.org;27-9-1978;12293240;ja;31-12-2020;12-4-2021;15-5-2021;PFI;Nee
65;Llewellyn;Hyatt;LlewellynHyatt@example.org;22-6-2000;83049569;ja;1-9-2020;29-1-2021;2-3-2021;PFI;Ja, 30 uur oud
66;Rhianna;Ebert;RhiannaEbert@example.org;30-9-1962;43786321;ja;11-8-2020;21-2-2021;28-4-2021;MOD;Nee
67;Blanca;Wyman;BlancaWyman@example.org;1-4-1952;72951136;nee;nvt;28-4-2021;27-5-2021;PFI;Nee
68;Daisy;Bosco;DaisyBosco@example.org;12-11-1935;62653283;ja;21-5-2020;15-4-2021;27-5-2021;PFI;Nee
69;Cecelia;Kunze;CeceliaKunze@example.org;8-3-1950;83934933;nee;nvt;7-4-2021;19-5-2021;PFI;Nee
70;Stephan;Emard;StephanEmard@example.org;26-9-1979;35714312;nee;nvt;18-1-2021;VOLDAAN;JANS;Nee
71;Kariane;Lebsack;KarianeLebsack@example.org;18-2-1941;15413784;nee;nvt;20-2-2021;14-4-2021;PFI;Nee
72;Hank;Rutherford;HankRutherford@example.org;3-9-1958;63052357;ja;1-11-2020;25-5-2021;nog inplannen;PFI;Ja, 30 uur oud
73;Dorothy;Jaskolski;DorothyJaskolski@example.org;19-10-2002;88095739;ja;9-5-2020;1-2-2021;19-3-2021;PFI;Nee
74;Casimir;Lubowitz;CasimirLubowitz@example.org;28-11-1933;33965878;ja;12-6-2020;20-3-2021;21-4-2021;PFI;Nee
75;Ignacio;Nolan;IgnacioNolan@example.org;17-10-1972;58789432;nee;nvt;7-3-2021;30-4-2021;PFI;Nee
76;Dayana;Waters;DayanaWaters@example.org;4-7-1957;66650760;nee;nvt;29-3-2021;19-5-2021;MOD;Nee
77;Jazmin;Little;JazminLittle@example.org;16-7-1984;54953325;ja;24-6-2020;4-5-2021;nog inplannen;PFI;Nee
78;Triston;Bradtke;TristonBradtke@example.org;2-4-1980;18819865;nee;nvt;14-5-2021;nog inplannen;PFI;Nee
79;Ruben;Paucek;RubenPaucek@example.org;14-12-1933;57256144;nee;nvt;29-1-2021;22-3-2021;PFI;Ja, 70 uur oud
80;Casper;Kris;CasperKris@example.org;16-3-1977;21737413;nee;nvt;24-5-2021;nog inplannen;PFI;Nee
81;Aurelie;Anderson;AurelieAnderson@example.org;21-8-1989;40664945;nee;nvt;19-2-2021;20-3-2021;PFI;Nee
82;June;Cremin;JuneCremin@example.org;14-8-1952;64666541;nee;nvt;24-2-2021;8-4-2021;PFI;Nee
83;Brain;Goyette;BrainGoyette@example.org;3-6-1932;98224272;ja;14-11-2020;6-4-2021;25-5-2021;MOD;Nee
84;Nyasia;Nikolaus;NyasiaNikolaus@example.org;12-8-1956;31421902;nee;nvt;30-3-2021;18-5-2021;PFI;Nee
85;Nicolette;Hayes;NicoletteHayes@example.org;15-11-1974;43459083;ja;7-7-2020;16-4-2021;16-5-2021;PFI;Nee
86;Creola;Kassulke;CreolaKassulke@example.org;27-1-1932;38131696;nee;nvt;10-2-2021;26-4-2021;AZ;Ja, 30 uur oud
87;Isabella;Dibbert;IsabellaDibbert@example.org;28-6-1958;19483096;nee;nvt;21-5-2021;nog inplannen;PFI;Nee
88;Rita;Labadie;RitaLabadie@example.org;12-7-1970;29273810;ja;18-9-2020;22-5-2021;nog inplannen;PFI;Nee
89;Lilliana;Powlowski;LillianaPowlowski@example.org;17-5-1945;29232188;ja;25-10-2020;26-2-2021;15-4-2021;PFI;Nee
90;Dorothea;Keeling;DorotheaKeeling@example.org;27-10-1988;94014469;ja;18-12-2020;25-5-2021;nog inplannen;PFI;Nee
91;Ansel;Mayert;AnselMayert@example.org;30-5-1982;60227572;ja;7-6-2020;6-4-2021;12-5-2021;PFI;Nee
92;Syble;Schmidt;SybleSchmidt@example.org;29-10-1960;77551730;nee;nvt;28-2-2021;31-3-2021;PFI;Nee
93;Priscilla;Green;PriscillaGreen@example.org;13-11-1975;28384548;nee;nvt;14-5-2021;nog inplannen;PFI;Ja, 30 uur oud
94;Matteo;Satterfield;MatteoSatterfield@example.org;23-4-1960;68065766;nee;nvt;10-3-2021;19-4-2021;PFI;Nee
95;Hertha;Johnston;HerthaJohnston@example.org;1-8-1950;35070825;ja;27-5-2020;28-3-2021;20-5-2021;PFI;Nee
96;Cory;Spencer;CorySpencer@example.org;15-9-1949;89297094;nee;nvt;2-5-2021;nog inplannen;MOD;Nee
97;Joana;Spencer;JoanaSpencer@example.org;27-6-1994;24305932;ja;24-8-2020;18-3-2021;4-5-2021;PFI;Nee
98;Anna;Barrows;AnnaBarrows@example.org;8-10-1953;50003338;ja;20-12-2020;23-2-2021;23-3-2021;PFI;Nee
99;Nico;VonRueden;NicoVonRueden@example.org;25-11-1977;83750650;ja;25-5-2020;31-1-2021;2-3-2021;PFI;Nee
100;Beryl;Wilderman;BerylWilderman@example.org;16-11-1993;67009975;nee;nvt;1-2-2021;7-3-2021;PFI;Ja, 30 uur oud
101;Neil;Littel;NeilLittel@example.org;23-7-1942;47453390;nee;nvt;6-4-2021;nog inplannen;PFI;Nee
102;Neal;Greenfelder;NealGreenfelder@example.org;9-7-1984;91886600;nee;nvt;17-4-2021;24-5-2021;PFI;Nee
103;Aubree;Harber;AubreeHarber@example.org;9-10-1996;83781180;nee;nvt;24-3-2021;12-5-2021;MOD;Nee
104;Lenna;Ratke;LennaRatke@example.org;22-9-1950;33012391;ja;19-8-2020;24-5-2021;VOLDAAN;AZ;Nee
105;Dallin;Stiedemann;DallinStiedemann@example.org;14-2-1933;43888950;ja;29-5-2020;11-1-2021;3-3-2021;PFI;Nee
106;Marjorie;Stark;MarjorieStark@example.org;17-10-1996;96131169;nee;nvt;10-3-2021;11-4-2021;PFI;Nee
107;Webster;Christiansen;WebsterChristiansen@example.org;25-9-1948;71380054;nee;nvt;7-5-2021;nog inplannen;PFI;Ja, 30 uur oud
108;Izabella;Weimann;IzabellaWeimann@example.org;17-10-1966;77672485;nee;nvt;26-1-2021;2-3-2021;PFI;Nee
109;Marina;Harber;MarinaHarber@example.org;10-5-1973;70521847;ja;1-10-2020;30-3-2021;25-5-2021;PFI;Nee
110;Jadon;Goldner;JadonGoldner@example.org;25-2-1960;18434723;nee;nvt;25-3-2021;20-5-2021;MOD;Nee
111;Rosendo;Krajcik;RosendoKrajcik@example.org;12-11-2002;11778667;ja;23-6-2020;7-4-2021;16-5-2021;AZ;Nee
112;Maria;Mann;MariaMann@example.org;2-10-1978;52883684;nee;nvt;27-3-2021;4-5-2021;PFI;Nee
113;Daisha;Murazik;DaishaMurazik@example.org;10-10-1999;81716554;ja;5-6-2020;25-3-2021;11-5-2021;PFI;Nee
114;Arnold;Williamson;ArnoldWilliamson@example.org;3-10-1996;82184706;nee;nvt;17-4-2021;nog inplannen;PFI;Ja, 40 uur oud
115;Pearl;Swift;PearlSwift@example.org;25-2-1983;92028506;nee;nvt;14-2-2021;15-4-2021;PFI;Nee
116;Garrett;Murazik;GarrettMurazik@example.org;22-2-1993;27767532;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
117;Edna;Heathcote;EdnaHeathcote@example.org;2-9-1965;81756215;nee;nvt;23-2-2021;3-4-2021;PFI;Nee
118;Alexandre;Hansen;AlexandreHansen@example.org;10-12-1958;91256793;nee;nvt;11-3-2021;19-4-2021;PFI;Nee
119;Nigel;Lueilwitz;NigelLueilwitz@example.org;20-10-1936;98713466;ja;8-12-2020;16-5-2021;nog inplannen;PFI;Nee
120;Zack;Crooks;ZackCrooks@example.org;30-1-1950;65604183;ja;19-6-2020;25-4-2021;nog inplannen;PFI;Nee
121;Adella;Hills;AdellaHills@example.org;29-12-1995;76113348;nee;nvt;22-4-2021;nog inplannen;PFI;Ja, 40 uur oud
122;Theodora;Hintz;TheodoraHintz@example.org;23-4-1982;61076641;nee;nvt;14-2-2021;4-4-2021;PFI;Nee
123;Kimberly;Gutmann;KimberlyGutmann@example.org;4-2-1965;17043874;nee;nvt;20-4-2021;nog inplannen;PFI;Nee
124;Horace;Goyette;HoraceGoyette@example.org;1-11-2001;64926125;nee;nvt;1-6-2021;VOLDAAN;AZ;Nee
125;Archibald;Green;ArchibaldGreen@example.org;14-10-1956;80288822;ja;20-9-2020;11-3-2021;20-4-2021;AZ;Nee
126;Kaleigh;Funk;KaleighFunk@example.org;21-12-1996;25828547;ja;12-8-2020;13-1-2021;13-2-2021;PFI;Nee
127;Dell;Adams;DellAdams@example.org;18-2-1962;74591691;nee;nvt;10-2-2021;7-4-2021;PFI;Nee
128;Leora;Cronin;LeoraCronin@example.org;2-12-1984;58007158;nee;nvt;24-3-2021;11-5-2021;AZ;Ja, 24 uur oud
129;Kamryn;Larkin;KamrynLarkin@example.org;19-6-1958;77587651;nee;nvt;21-4-2021;nog inplannen;PFI;Nee
130;Elliot;Reinger;ElliotReinger@example.org;28-10-1990;58643607;ja;25-5-2020;27-2-2021;3-4-2021;PFI;Nee
131;Nelda;Nikolaus;NeldaNikolaus@example.org;13-10-1958;81201365;ja;23-8-2020;23-1-2021;16-3-2021;AZ;Nee
132;Maximus;Huel;MaximusHuel@example.org;27-2-1971;76922447;ja;23-10-2020;20-3-2021;20-4-2021;PFI;Nee
133;Laura;Hodkiewicz;LauraHodkiewicz@example.org;8-6-1989;68122207;ja;8-1-2021;29-4-2021;3-6-2021;ONB;Nee
134;Javon;Schowalter;JavonSchowalter@example.org;11-5-1960;96292185;ja;30-12-2020;22-2-2021;19-4-2021;PFI;Nee
135;Alejandra;Schuster;AlejandraSchuster@example.org;24-4-1960;51100987;nee;nvt;16-1-2021;10-3-2021;MOD;Ja, 40 uur oud
136;Raven;Batz;RavenBatz@example.org;2-9-1936;15807823;nee;nvt;20-4-2021;nog inplannen;PFI;Nee
137;Matilde;Gutmann;MatildeGutmann@example.org;20-10-1951;96927166;ja;11-11-2020;5-5-2021;nog inplannen;PFI;Nee
138;Janessa;Baumbach;JanessaBaumbach@example.org;18-5-1961;13897490;nee;nvt;12-3-2021;30-4-2021;PFI;Nee
139;Guadalupe;Kiehn;GuadalupeKiehn@example.org;5-3-1950;71443744;nee;nvt;12-2-2021;17-3-2021;PFI;Nee
140;Roscoe;Stoltenberg;RoscoeStoltenberg@example.org;1-6-1990;27196764;ja;14-5-2020;15-2-2021;12-4-2021;PFI;Nee
141;Berry;Moen;BerryMoen@example.org;14-11-1949;11558632;nee;nvt;13-3-2021;6-5-2021;ONB;Nee
142;Bernard;Tremblay;BernardTremblay@example.org;30-8-1962;21505918;nee;nvt;4-3-2021;15-4-2021;AZ;Ja, 40 uur oud
143;Kavon;Stracke;KavonStracke@example.org;16-6-1931;65179387;ja;10-10-2020;14-3-2021;11-4-2021;ONB;Nee
144;Alexandria;Hegmann;AlexandriaHegmann@example.org;9-6-1966;31342507;nee;nvt;25-4-2021;24-5-2021;PFI;Nee
145;Darryl;Schuster;DarrylSchuster@example.org;17-1-2004;16764771;nee;nvt;21-4-2021;31-5-2021;PFI;Nee
146;Tabitha;Balistreri;TabithaBalistreri@example.org;15-11-1990;77985284;nee;nvt;7-4-2021;16-5-2021;AZ;Nee
147;Fabiola;Streich;FabiolaStreich@example.org;29-9-1958;58110815;ja;17-7-2020;4-3-2021;12-5-2021;AZ;Nee
148;Tate;Yost;TateYost@example.org;20-4-1996;18826643;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
149;Letha;Moen;LethaMoen@example.org;18-1-1965;50425002;nee;nvt;18-1-2021;17-3-2021;PFI;Ja, 40 uur oud
150;Gaston;Roob;GastonRoob@example.org;19-12-1978;79234747;ja;7-10-2020;27-1-2021;26-3-2021;PFI;Nee
151;Evelyn;Jones;EvelynJones@example.org;1-9-1969;48938511;nee;nvt;11-3-2021;7-5-2021;PFI;Nee
152;Una;Howell;UnaHowell@example.org;26-11-1937;87116754;ja;6-7-2020;7-2-2021;22-3-2021;PFI;Nee
153;Brisa;Rau;BrisaRau@example.org;7-8-1962;65458113;nee;nvt;26-3-2021;3-5-2021;AZ;Nee
154;Gracie;Bahringer;GracieBahringer@example.org;16-11-1931;23277955;nee;nvt;11-1-2021;10-2-2021;PFI;Nee
155;Cristopher;Mertz;CristopherMertz@example.org;1-6-1964;68557119;ja;31-12-2020;8-2-2021;6-4-2021;AZ;Nee
156;Watson;Rice;WatsonRice@example.org;24-3-1951;82691122;ja;25-5-2020;5-2-2021;1-4-2021;PFI;Ja, 30 uur oud
157;Lela;Windler;LelaWindler@example.org;27-7-1945;84621209;nee;nvt;13-2-2021;19-3-2021;AZ;Nee
158;Candida;Boyer;CandidaBoyer@example.org;2-10-1933;21915014;nee;nvt;8-3-2021;12-4-2021;PFI;Nee
159;Maryse;Swift;MaryseSwift@example.org;29-9-2001;25020716;nee;nvt;17-2-2021;19-3-2021;PFI;Nee
160;Odie;Miller;OdieMiller@example.org;14-2-1968;10881926;ja;8-8-2020;14-4-2021;22-5-2021;PFI;Nee
161;Aryanna;Fay;AryannaFay@example.org;13-10-1986;51824614;ja;22-6-2020;5-3-2021;VOLDAAN;JANS;Nee
162;Gretchen;Cremin;GretchenCremin@example.org;18-10-1958;71573112;nee;nvt;29-3-2021;2-5-2021;PFI;Nee
163;Corene;Shields;CoreneShields@example.org;16-10-1964;66568879;nee;nvt;6-5-2021;nog inplannen;PFI;Ja, 30 uur oud
164;Telly;Stokes;TellyStokes@example.org;28-9-1939;43581927;nee;nvt;5-5-2021;nog inplannen;PFI;Nee
165;Dina;Ledner;DinaLedner@example.org;12-10-1984;68921204;ja;5-5-2020;2-2-2021;4-3-2021;PFI;Nee
166;Michele;Nikolaus;MicheleNikolaus@example.org;26-11-1952;55277280;nee;nvt;17-5-2021;nog inplannen;PFI;Nee
167;Edna;Robel;EdnaRobel@example.org;27-3-1956;46180476;ja;29-10-2020;11-4-2021;nog inplannen;PFI;Nee
168;Cleta;Okuneva;CletaOkuneva@example.org;3-6-1971;88525650;ja;20-12-2020;28-4-2021;nog inplannen;PFI;Nee
169;Janie;Hoeger;JanieHoeger@example.org;18-1-1948;86612170;ja;12-12-2020;16-1-2021;16-2-2021;PFI;Nee
170;Lew;Koelpin;LewKoelpin@example.org;23-6-1959;11262906;ja;13-7-2020;12-4-2021;nog inplannen;PFI;Ja, 30 uur oud
171;Vergie;Hettinger;VergieHettinger@example.org;29-9-1948;31787141;nee;nvt;29-4-2021;nog inplannen;PFI;Nee
172;Abner;Wisozk;AbnerWisozk@example.org;5-10-1977;85164171;ja;7-10-2020;1-6-2021;nog inplannen;AZ;Nee
173;Amya;Leffler;AmyaLeffler@example.org;24-12-1976;29049348;nee;nvt;18-5-2021;nog inplannen;MOD;Nee
174;Kristopher;Kling;KristopherKling@example.org;2-6-1994;54352481;nee;nvt;21-5-2021;nog inplannen;PFI;Nee
175;Norris;Schmitt;NorrisSchmitt@example.org;2-3-1948;23450336;ja;19-10-2020;11-1-2021;28-2-2021;PFI;Nee
176;Ally;Kutch;AllyKutch@example.org;19-6-1958;44593066;nee;nvt;27-1-2021;28-2-2021;PFI;Nee
177;Jalen;Murazik;JalenMurazik@example.org;27-7-1941;86029595;nee;nvt;6-3-2021;3-5-2021;AZ;Ja, 30 uur oud
178;Sim;Graham;SimGraham@example.org;19-10-1996;11064388;ja;16-10-2020;1-4-2021;19-5-2021;PFI;Nee
179;Titus;Wilkinson;TitusWilkinson@example.org;4-3-1931;82648759;ja;9-7-2020;19-1-2021;12-3-2021;PFI;Nee
180;Jonathon;Okuneva;JonathonOkuneva@example.org;24-5-1978;76850138;nee;nvt;12-5-2021;nog inplannen;PFI;Nee
181;Dimitri;Kris;DimitriKris@example.org;18-8-1944;48690937;ja;27-8-2020;29-4-2021;nog inplannen;PFI;Nee
182;Dannie;Reichel;DannieReichel@example.org;13-9-1988;52521698;ja;24-5-2020;7-4-2021;30-5-2021;ONB;Nee
183;Stephany;Harris;StephanyHarris@example.org;27-9-1953;46969225;nee;nvt;19-2-2021;8-4-2021;PFI;Nee
184;Gianni;D'Amore;GianniD'Amore@example.org;11-12-1932;47009526;nee;nvt;26-1-2021;25-2-2021;AZ;Ja, 30 uur oud
185;Nayeli;Hauck;NayeliHauck@example.org;31-10-1943;96051672;nee;nvt;7-3-2021;17-4-2021;PFI;Nee
186;Allison;Quigley;AllisonQuigley@example.org;12-12-1946;41907206;nee;nvt;24-2-2021;31-3-2021;PFI;Nee
187;Dejuan;Bernhard;DejuanBernhard@example.org;7-7-1958;58228880;nee;nvt;24-2-2021;29-4-2021;PFI;Nee
188;Etha;Hane;EthaHane@example.org;13-12-1955;50761958;ja;7-5-2020;16-5-2021;VOLDAAN;AZ;Nee
189;Nicholas;Quigley;NicholasQuigley@example.org;22-6-1932;78415591;ja;6-10-2020;14-1-2021;25-2-2021;PFI;Nee
190;Aubrey;Hammes;AubreyHammes@example.org;18-1-1968;20468821;ja;19-6-2020;14-3-2021;16-4-2021;MOD;Nee
191;Isabelle;Bernier;IsabelleBernier@example.org;22-4-1953;28485623;nee;nvt;8-5-2021;nog inplannen;PFI;Ja, 24 uur oud
192;Anahi;Hettinger;AnahiHettinger@example.org;16-10-1957;27908917;nee;nvt;10-2-2021;VOLDAAN;JANS;Nee
193;Tito;Frami;TitoFrami@example.org;29-11-1937;90687260;nee;nvt;9-5-2021;nog inplannen;MOD;Nee
194;Lorna;Quitzon;LornaQuitzon@example.org;19-9-2003;21895953;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Ja, 24 uur oud
195;Estrella;Bailey;EstrellaBailey@example.org;11-4-1934;27793004;ja;12-10-2020;26-3-2021;11-5-2021;PFI;Nee
196;Houston;Goldner;HoustonGoldner@example.org;8-2-1988;17194631;nee;nvt;19-5-2021;nog inplannen;PFI;Nee
197;Johnpaul;Smith;JohnpaulSmith@example.org;7-11-1991;75901892;ja;8-5-2020;15-1-2021;27-2-2021;PFI;Nee
198;Everette;Wilderman;EveretteWilderman@example.org;14-5-1974;79682445;nee;nvt;13-4-2021;20-5-2021;PFI;Ja, 24 uur oud
199;Clotilde;Considine;ClotildeConsidine@example.org;7-7-1951;96494974;nee;nvt;20-3-2021;17-5-2021;PFI;Nee
200;Bettye;Crona;BettyeCrona@example.org;28-3-1999;18405083;nee;nvt;25-1-2021;17-3-2021;AZ;Nee
201;Freeman;Quigley;FreemanQuigley@example.org;21-7-1971;54068432;ja;8-8-2020;7-4-2021;19-5-2021;ONB;Nee
202;Jamaal;Veum;JamaalVeum@example.org;7-2-1979;71845464;ja;31-10-2020;29-5-2021;nog inplannen;PFI;Nee
203;Adrianna;Schulist;AdriannaSchulist@example.org;13-12-1985;88352723;nee;nvt;12-4-2021;10-5-2021;PFI;Nee
204;Jamie;Jenkins;JamieJenkins@example.org;1-1-1932;74755841;ja;17-8-2020;20-2-2021;23-3-2021;AZ;Nee
205;Deshaun;Pagac;DeshaunPagac@example.org;2-7-2002;33297270;ja;23-8-2020;9-2-2021;9-4-2021;PFI;Ja, 24 uur oud
206;Jacky;Langosh;JackyLangosh@example.org;6-10-1945;76671088;ja;30-12-2020;16-1-2021;7-3-2021;PFI;Nee
